"Trade flow","Year","Period","Tariff heading","Key","Key - text","Land","Quantity (kg)","Value (CHF)"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Uzbekistan","9'999","547'261'910"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","USA","4'172","183'365'338"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","USA","5'767","313'771'291"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","USA","20","1'074'323"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","USA","113","3'289'089"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","United Kingdom","8'985","484'083'237"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","United Kingdom","34'003","1'827'191'975"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","United Kingdom","180","6'518'089"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Turkey","3","130'000"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Turkey","53","1'677'846"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Tanzania","837","26'973'959"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Taiwan","109","5'904'398"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Sweden","68","3'008'269"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Suriname","2'291","118'793'130"
"IMP","2022","01_January","7108.1200","911","mined gold (according to the ""Explanatory notes"")","Spain","45","880'858"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","Spain","56","2'209'317"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","South Africa","3'271","174'147'474"
"IMP","2022","01_January","7108.1200","914","less than 99.5% of gold","South Africa","332","17'959'846"
"IMP","2022","01_January","7108.1200","912","at least 99.5% of gold, for refining or other processing","Singapore","23","1'247'076"
"IMP","2022","01_January","7108.1200","913","at least 99.5% of gold, for other uses","Singapore","23","1'252'773"
